run,subrun,evt
18255,1,143434
18345,1,468552
18255,1,500859
18268,1,77337
18255,1,365125
18255,1,292384
18259,1,27524
18255,1,182517
18255,1,131055
18255,1,29218
18255,1,439096
18255,1,310562
18255,1,187831
18255,1,43719
18255,1,519230
18279,1,195756
18255,1,232122
18255,1,272369
18255,1,182959
18255,1,111625
18259,1,8534
18255,1,507965
18255,1,342955
18385,1,124113
18255,1,281679
18388,1,262316
18255,1,24306
18255,1,115380
18255,1,447723
18255,1,365401
18255,1,52408
18255,1,427868
18259,1,9080
18259,1,182316
18255,1,116217
18259,1,26118
18255,1,231167
18255,1,199513
18255,1,229506
18255,1,249299
18255,1,152410
18259,1,165559
18255,1,393050
18255,1,312414
18253,1,274985
18259,1,258666
18255,1,250672
18255,1,32783
18390,1,389518
18255,1,520340
18259,1,66986
18255,1,118469
18255,1,13126
18253,1,232720
18255,1,486895
18272,1,37039
18388,1,9014
18259,1,139416
18259,1,87289
18306,1,108894
18255,1,128338
18255,1,223969
18265,1,131899
18255,1,223477
18255,1,486803
18255,1,347563
18259,1,39153
18259,1,158710
18255,1,65726
18279,1,307209
18259,1,211099
18255,1,151634
18255,1,31697
18259,1,137654
18264,1,463383
18259,1,21413
18345,1,378611
18364,1,246653
18342,1,83568
18264,1,309377
18255,1,231271
18255,1,123922
18255,1,287922
18261,1,346189
18255,1,471726
18255,1,513782
18255,1,211765
18255,1,522546
18255,1,117325
18259,1,29143
18253,1,42454
18270,1,969147
18255,1,55542
18255,1,9142
18255,1,318371
18255,1,455061
18353,1,158471
18255,1,481222
18253,1,151945
18255,1,166374
18255,1,463502
18259,1,115080
18270,1,506515
18390,1,353045
18255,1,194127
18355,1,208167
18255,1,148956
18259,1,85588
18255,1,232395
18259,1,120867
18259,1,47928
18264,1,296457
18255,1,243055
18255,1,245962
18259,1,226257
18259,1,90874
18259,1,91466
18255,1,24702
18264,1,121930
18279,1,466773
18255,1,232820
18393,1,9931
18271,1,546804
18259,1,100944
18255,1,491168
