run,subrun,evt
18255,1,292370
18259,1,1271
18255,1,250306
18259,1,120572
18255,1,494819
18255,1,130283
18255,1,492197
18255,1,39895
18255,1,295964
18255,1,480624
18259,1,191594
18255,1,489806
18259,1,31758
18255,1,91025
18255,1,164630
18255,1,166946
18255,1,497668
18255,1,175816
18259,1,102516
18255,1,23796
18255,1,221279
18259,1,40851
18259,1,173585
18255,1,295681
18255,1,31616
18255,1,371095
18255,1,125082
18255,1,329701
18255,1,122869
18259,1,45300
18259,1,264512
18255,1,305398
18255,1,169693
18255,1,69203
18259,1,173474
18255,1,520757
18255,1,462895
18255,1,200771
18255,1,230094
18259,1,212151
18255,1,187831
18255,1,433744
18255,1,512469
18255,1,86105
18255,1,228359
18259,1,225443
18255,1,299400
18255,1,299818
18255,1,297803
18255,1,301079
18259,1,61159
18255,1,468015
18255,1,515511
18255,1,337260
18255,1,185365
18255,1,66905
18255,1,347421
18259,1,18920
18255,1,196330
18255,1,344773
18255,1,198088
18255,1,197350
18255,1,200694
18259,1,67909
18259,1,235842
18255,1,310194
18255,1,326925
18259,1,43476
18255,1,220302
18255,1,188500
18259,1,19244
18255,1,494996
18259,1,138762
18255,1,29867
18255,1,486803
18255,1,135808
18259,1,104609
18255,1,360002
18255,1,441633
18255,1,196054
18255,1,79889
18255,1,150700
18255,1,169349
18255,1,236953
18255,1,238053
18255,1,407114
18255,1,99554
18259,1,97746
18255,1,90881
18255,1,320141
18255,1,377639
18259,1,231385
18255,1,68376
18259,1,183520
18255,1,266218
18255,1,346564
18255,1,394983
18259,1,49377
18255,1,77608
18255,1,290837
18259,1,71931
18259,1,173897
18259,1,3585
18259,1,35230
18255,1,163283
18255,1,420282
18255,1,279052
18255,1,403397
18255,1,473733
18259,1,164025
18255,1,462767
18255,1,114696
18255,1,77801
18255,1,457330
18255,1,463028
18255,1,28938
18259,1,85588
18255,1,103888
18255,1,359664
18259,1,113142
18255,1,93632
18255,1,93676
18255,1,180915
18255,1,376933
18255,1,431119
18255,1,101242
18255,1,443235
18259,1,87289
18259,1,120867
18255,1,432238
18255,1,9919
18255,1,83374
18255,1,475846
18255,1,5826
18255,1,466873
18255,1,155970
